Horse,Date,Track,Distance,Finish_Pos,Barrier,Weight,Margin,SP,Condition
Bajaria,09-Apr-26,Pakenham,1200m,2/6,,,,,
Bajaria,12-Mar-26,Pakenham,1100m,2/9,,,,,
Bajaria,03-Mar-26,TRIAL Southside Pakenham,800m,2/8,,,,,
Bajaria,17-Feb-26,TRIAL Southside Pakenham,800m,3/6,,,,,
Bajaria,29-Oct-25,Bendigo,1300m,3/9,,,,,
Bajaria,08-Oct-25,Sale,1112m,1/9,,,,,
Bajaria,23-Sep-25,TRIAL Southside Pakenham,800m,1/8,,,,,
Bajaria,22-Aug-25,Geelong,1212m,3/8,,,,,
Bajaria,12-Aug-25,TRIAL Southside Pakenham,800m,3/9,,,,,
Bajaria,13-Jul-25,Bendigo,1000m,4/14,,,,,
Bajaria,01-Jul-25,TRIAL Sportsbet-Pakenham,800m,1/7,,,,,
Bajaria,18-Jun-25,TRIAL Caulfield Heath,800m,2/7,,,,,
Bajaria,28-Jan-25,TRIAL Sportsbet-Pakenham,800m,5/5,,,,,
Rockette Roulette,09-Apr-26,Pakenham,1200m,3/6,,,,,
Rockette Roulette,04-Apr-26,Tocumwal,1300m,7/12,,,,,
Rockette Roulette,24-Mar-26,Yarra Valley,1200m,3/10,,,,,
Rockette Roulette,13-Mar-26,Kyneton,1106m,5/5,,,,,
Rockette Roulette,13-Feb-26,Kilmore,1200m,5/14,,,,,
Rockette Roulette,08-Feb-26,Wangaratta,1400m,6/11,,,,,
Rockette Roulette,31-Jan-26,Kyneton,1203m,7/13,,,,,
Rockette Roulette,22-Jan-26,Cranbourne,1200m,4/7,,,,,
Rockette Roulette,13-Jan-26,Yarra Valley,1200m,12/12,,,,,
Rockette Roulette,27-Dec-25,Kerang,1100m,3/10,,,,,
Rockette Roulette,13-Dec-25,Moulamein,1200m,1/7,,,,,
Rockette Roulette,23-Nov-25,Kilmore,1450m,7/9,,,,,
Rockette Roulette,18-Nov-25,Kyneton,1115m,7/7,,,,,
Rockette Roulette,14-Nov-25,TRIAL bet365 Seymour,800m,6/7,,,,,
Rockette Roulette,14-Oct-25,TRIAL bet365 Seymour,800m,4/6,,,,,
Rockette Roulette,22-Jul-24,Seymour,1200m,9/12,,,,,
Rockette Roulette,06-Jul-24,Wangaratta,1400m,13/14,,,,,
Rockette Roulette,20-Jun-24,Wangaratta,1000m,10/11,,,,,
Rockette Roulette,03-Jun-24,TRIAL Wangaratta,900m,6/8,,,,,
Neziha,09-Apr-26,Pakenham,1200m,4/6,,,,,
Neziha,27-Mar-26,TRIAL Picklebet Park Werribee,800m,1/6,,,,,
Neziha,20-Mar-26,TRIAL Flemington,800m,7/8,,,,,
Neziha,02-Dec-25,Donald,1350m,1/11,,,,,
Neziha,14-Nov-25,Geelong,1207m,2/11,,,,,
Neziha,30-Oct-25,TRIAL Caulfield Heath,800m,2/9,,,,,
Neziha,10-Oct-25,TRIAL Flemington,800m,3/5,,,,,
Neziha,25-Sep-25,TRIAL Flemington,800m,4/5,,,,,
Neziha,30-May-25,TRIAL Flemington,800m,1/6,,,,,
Neziha,19-May-25,TRIAL Picklebet Park Werribee,800m,4/6,,,,,
Humble Trader,09-Apr-26,Pakenham,1200m,1/6,,,,,
Humble Trader,16-Mar-26,TRIAL Southside Cranbourne,1000m,4/10,,,,,
Humble Trader,09-Mar-26,TRIAL Southside Cranbourne,1000m,2/9,,,,,
Humble Trader,25-Feb-26,TRIAL Caulfield Heath,800m,3/8,,,,,
Humble Trader,03-Sep-25,Sandown Hillside,1300m,4/7,,,,,
Humble Trader,20-Aug-25,Sandown Lakeside,1200m,1/11,,,,,
Humble Trader,28-Jul-25,TRIAL Cranbourne-Syn,1000m,1/5,,,,,
Humble Trader,14-Jul-25,TRIAL Cranbourne-Syn,760m,1/6,,,,,
Humble Trader,30-Jun-25,TRIAL Cranbourne,650m,1/8,,,,,
Mortlake,09-Apr-26,Gosford,2100m,1/7,,,,,
Mortlake,24-Mar-26,Port Macquarie,1800m,2/8,,,,,
Mortlake,10-Mar-26,Taree,1600m,8/11,,,,,
Mortlake,13-Feb-26,Taree,1614m,3/9,,,,,
Mortlake,23-Jan-26,Canterbury,1900m,7/10,,,,,
Mortlake,07-Jan-26,Warwick Farm,1600m,9/10,,,,,
Mortlake,30-Dec-25,TRIAL Randwick,1050m,7/8,,,,,
Mortlake,15-Dec-25,TRIAL Hawkesbury,800m,9/9,,,,,
Mortlake,08-Aug-25,Canberra Acton,1900m,3/8,,,,,
Mortlake,23-Jul-25,Canterbury,1550m,6/9,,,,,
Mortlake,05-Jul-25,Rosehill Gardens,1400m,12/13,,,,,
Mortlake,11-Jun-25,Kensington,1400m,5/9,,,,,
Mortlake,29-May-25,TRIAL Rosehill Gardens,1030m,4/8,,,,,
Mortlake,09-May-25,TRIAL Rosehill Gardens,1030m,9/10,,,,,
Mortlake,24-Apr-25,TRIAL Randwick,1045m,9/10,,,,,
Mortlake,24-Oct-24,Kempton,1610m,4/14,,,,,
Mortlake,01-Aug-24,Goodwood,1990m,10/10,,,,,
Mortlake,26-Jun-24,Salisbury,1610m,3/6,,,,,
Mortlake,15-May-24,York,1410m,11/15,,,,,
Mortlake,02-Sep-23,Sandown,1410m,5/6,,,,,
Mortlake,02-Sep-23,Sandown Park,1408m,5/6,,,,,
Mortlake,13-Aug-23,Leicester,1410m,1/8,,,,,
Mortlake,16-Jul-23,Salisbury,1400m,6/9,,,,,
Rita's Pearl,09-Apr-26,Gosford,2100m,2/7,,,,,
Rita's Pearl,28-Mar-26,Wyong,2100m,2/7,,,,,
Rita's Pearl,06-Mar-26,Newcastle,2300m,4/9,,,,,
Rita's Pearl,21-Feb-26,Wyong,2125m,2/8,,,,,
Rita's Pearl,11-Feb-26,Gosford,1600m,7/7,,,,,
Rita's Pearl,03-Feb-26,TRIAL Warwick Farm,1200m,8/9,,,,,
Rita's Pearl,16-Oct-25,Goulburn,2140m,1/7,,,,,
Rita's Pearl,09-Oct-25,Orange,2100m,4/9,,,,,
Rita's Pearl,27-Sep-25,Kembla Grange,2000m,7/10,,,,,
Rita's Pearl,13-Sep-25,Kembla Grange,1600m,5/8,,,,,
Rita's Pearl,24-Aug-25,Goulburn,1400m,9/10,,,,,
Rita's Pearl,08-Aug-25,Canberra Acton,1280m,6/8,,,,,
Rita's Pearl,25-Jul-25,TRIAL Warwick Farm,1207m,6/9,,,,,
Rita's Pearl,27-Aug-24,TRIAL Warwick Farm,1207m,6/6,,,,,
Pharoah Queen,09-Apr-26,Gosford,2100m,2/7,,,,,
Pharoah Queen,28-Mar-26,Wyong,2100m,3/7,,,,,
Pharoah Queen,06-Mar-26,Newcastle,1600m,9/9,,,,,
Pharoah Queen,12-Feb-26,TRIAL Beaumont,1200m,5/6,,,,,
Pharoah Queen,28-Jan-26,TRIAL Wyong,1200m,3/6,,,,,
Pharoah Queen,08-Jan-26,TRIAL Beaumont,1000m,6/7,,,,,
Pharoah Queen,12-Jul-25,Newcastle,1850m,5/9,,,,,
Pharoah Queen,17-Jun-25,Hawkesbury,1800m,8/10,,,,,
Pharoah Queen,17-May-25,Kembla Grange,1400m,10/10,,,,,
Pharoah Queen,17-Apr-25,TRIAL Warwick Farm,813m,5/8,,,,,
Pharoah Queen,07-Apr-25,TRIAL Kembla Grange,800m,6/7,,,,,
Serpico,09-Apr-26,Gosford,1600m,1/8,,,,,
Serpico,04-Apr-26,Wyong,1300m,6/8,,,,,
Serpico,26-Feb-26,Wyong,1350m,1/9,,,,,
Serpico,12-Feb-26,TRIAL Rosehill Gardens,1030m,8/9,,,,,
Serpico,14-Dec-25,Hawkesbury,1600m,5/10,,,,,
Serpico,20-Nov-25,Newcastle,1400m,6/12,,,,,
Serpico,25-Oct-25,Kembla Grange,1600m,6/8,,,,,
Serpico,15-Oct-25,Warwick Farm,1200m,9/12,,,,,
Serpico,27-Sep-25,Kembla Grange,1200m,4/12,,,,,
Serpico,09-Sep-25,TRIAL Rosehill Gardens,1030m,4/7,,,,,
Serpico,04-Jul-25,TRIAL Rosehill Gardens,1020m,1/5,,,,,
Serpico,14-May-25,Kensington,1400m,9/11,,,,,
Serpico,03-May-25,Hawkesbury,1400m,6/12,,,,,
Serpico,16-Apr-25,Warwick Farm,1200m,3/10,,,,,
Serpico,26-Mar-25,Kensington,1100m,6/9,,,,,
Serpico,17-Mar-25,TRIAL Rosehill Gardens,1030m,3/6,,,,,
Serpico,10-Dec-24,TRIAL Rosehill Gardens,900m,4/5,,,,,
Serpico,03-Dec-24,TRIAL Canterbury,1100m,7/7,,,,,
Mane Character,09-Apr-26,Gosford,1200m,1/13,,,,,
Mane Character,24-Mar-26,TRIAL Beaumont,1000m,2/7,,,,,
Mane Character,05-Mar-26,TRIAL Wyong,845m,1/6,,,,,
Mane Character,18-Oct-25,Newcastle,1250m,6/7,,,,,
Mane Character,26-Sep-25,Scone,1100m,11/13,,,,,
Mane Character,08-Sep-25,TRIAL Wyong,845m,4/8,,,,,
Mane Character,18-Aug-25,TRIAL Gosford,800m,3/7,,,,,
Mane Character,18-Mar-25,Hawkesbury,1100m,4/11,,,,,
Mane Character,05-Mar-25,TRIAL Beaumont,1000m,1/6,,,,,
Mane Character,24-Feb-25,TRIAL Hawkesbury,800m,5/9,,,,,
Mane Character,21-Sep-24,Newcastle,1250m,7/9,,,,,
Mane Character,09-Sep-24,TRIAL Wyong,1000m,1/7,,,,,
Mane Character,26-Aug-24,TRIAL Hawkesbury,800m,5/7,,,,,
Mane Character,19-Mar-24,TRIAL Gosford,800m,4/7,,,,,
Wonderful Sky,09-Apr-26,Pakenham,1100m,1/11,,,,,
Wonderful Sky,19-Mar-26,Pakenham,1100m,2/12,,,,,
Wonderful Sky,02-Mar-26,TRIAL Southside Cranbourne,800m,1/8,,,,,
Wonderful Sky,16-Feb-26,TRIAL Southside Cranbourne,800m,3/6,,,,,
Wonderful Sky,20-Nov-25,TRIAL Caulfield Heath,800m,3/9,,,,,
Wonderful Sky,03-Nov-25,TRIAL Southside Cranbourne,800m,1/4,,,,,
Icelady,09-Apr-26,Pakenham,1100m,2/11,,,,,
Icelady,19-Mar-26,Pakenham,1100m,4/12,,,,,
Icelady,09-Mar-26,TRIAL Southside Cranbourne,800m,2/7,,,,,
Icelady,23-Feb-26,TRIAL Ballarat,900m,8/8,,,,,
Icelady,12-Feb-26,TRIAL Avoca,800m,5/7,,,,,
Forbidden Desire,09-Apr-26,Pakenham,1100m,3/11,,,,,
Forbidden Desire,26-Mar-26,TRIAL Caulfield Heath,800m,1/7,,,,,
Forbidden Desire,09-Mar-26,TRIAL Southside Cranbourne,800m,5/9,,,,,
Forbidden Desire,29-Nov-25,Caulfield,1000m,8/13,,,,,
Forbidden Desire,20-Nov-25,TRIAL Caulfield Heath,800m,4/9,,,,,
Forbidden Desire,03-Nov-25,TRIAL Southside Cranbourne,800m,2/4,,,,,
Heat Map,09-Apr-26,Pakenham,1100m,4/11,,,,,
Heat Map,25-Mar-26,TRIAL Caulfield Heath,800m,1/6,,,,,
Heat Map,11-Mar-26,TRIAL Balnarring,750m,3/6,,,,,
Heat Map,03-Dec-25,TRIAL Mornington,790m,4/5,,,,,
Heat Map,19-Nov-25,TRIAL Mornington,750m,2/7,,,,,
Beskar,21-Mar-26,Rosehill Gardens,1200m,1/14,,,,,
Beskar,10-Mar-26,TRIAL Rosehill Gardens,900m,8/9,,,,,
Beskar,21-Feb-26,Caulfield,1200m,3/7,,,,,
Beskar,28-Jan-26,TRIAL Balnarring,1000m,2/7,,,,,
Beskar,15-Jan-26,TRIAL Sandown Hillside,1000m,2/3,,,,,
Beskar,31-Dec-25,TRIAL Balnarring,750m,3/4,,,,,
Beskar,11-Oct-25,Rosehill Gardens,1200m,8/8,,,,,
Beskar,06-Sep-25,Moonee Valley,1200m,6/8,,,,,
Beskar,27-Aug-25,TRIAL Mornington,1000m,2/6,,,,,
Beskar,13-Aug-25,TRIAL Caulfield Heath,900m,4/11,,,,,
Beskar,31-May-25,Eagle Farm,1400m,11/14,,,,,
Beskar,17-May-25,Doomben,1200m,4/14,,,,,
Beskar,09-May-25,TRIAL Rosehill Gardens,900m,4/10,,,,,
Beskar,05-Apr-25,Randwick,1100m,3/8,,,,,
Beskar,28-Mar-25,TRIAL Randwick,740m,1/9,,,,,
Beskar,12-Mar-25,TRIAL Balnarring,750m,5/5,,,,,
Beskar,05-Dec-24,Geelong,1121m,1/5,,,,,
Beskar,25-Nov-24,TRIAL Cranbourne,800m,1/7,,,,,
Beskar,13-Nov-24,TRIAL Balnarring,750m,4/6,,,,,
Regal Award,21-Mar-26,Rosehill Gardens,1200m,7/14,,,,,
Regal Award,03-Mar-26,TRIAL Southside Pakenham,1000m,1/7,,,,,
Regal Award,01-Nov-25,Flemington,1600m,2/8,,,,,
Regal Award,15-Oct-25,Caulfield,1600m,1/6,,,,,
Regal Award,27-Sep-25,Sandown Hillside,1400m,4/7,,,,,
Regal Award,10-Sep-25,Sandown Hillside,1300m,1/12,,,,,
Regal Award,23-Aug-25,Moonee Valley,1200m,5/9,,,,,
Regal Award,12-Aug-25,TRIAL Southside Pakenham,1000m,1/7,,,,,
Regal Award,29-Jul-25,TRIAL Sportsbet-Pakenham Synthetic,750m,3/6,,,,,
Regal Award,23-Apr-25,Geelong,1212m,2/9,,,,,
Regal Award,15-Apr-25,TRIAL Sportsbet-Pakenham,1000m,1/4,,,,,
Regal Award,08-Apr-25,TRIAL Sportsbet-Pakenham,800m,4/5,,,,,
Regal Award,25-Mar-25,TRIAL Sportsbet-Pakenham,800m,3/8,,,,,
Regal Award,24-Dec-24,TRIAL Sportsbet-Pakenham,750m,3/7,,,,,
Options,27-Mar-26,TRIAL Picklebet Park Werribee,1100m,2/6,,,,,
Options,13-Mar-26,TRIAL Flemington,800m,6/6,,,,,
Options,01-Nov-25,Flemington,2500m,10/16,,,,,
Options,25-Oct-25,Moonee Valley,2040m,5/9,,,,,
Options,04-Oct-25,Flemington,1800m,1/12,,,,,
Options,21-Sep-25,Flemington,1800m,3/12,,,,,
Options,07-Sep-25,Bendigo,1600m,1/9,,,,,
Options,29-Aug-25,TRIAL Flemington,800m,3/4,,,,,
Options,10-Aug-25,Echuca,1300m,1/6,,,,,
Options,11-Jul-25,TRIAL Kilmore,900m,2/6,,,,,
Options,27-Jun-25,TRIAL Flemington,800m,2/5,,,,,
Options,06-Jun-25,TRIAL Picklebet Park Werribee,800m,7/7,,,,,
Mareth,21-Mar-26,Rosehill Gardens,1200m,9/14,,,,,
Mareth,07-Mar-26,Randwick,1100m,5/7,,,,,
Mareth,21-Feb-26,Rosehill Gardens,1300m,7/9,,,,,
Mareth,06-Feb-26,TRIAL Canterbury,900m,4/8,,,,,
Mareth,28-Dec-25,Gosford,1200m,2/7,,,,,
Mareth,12-Dec-25,Canterbury,1100m,1/8,,,,,
Mareth,02-Dec-25,TRIAL Canterbury,890m,1/5,,,,,
Mareth,21-Nov-25,TRIAL Randwick,737m,3/8,,,,,
Mareth,20-Jun-25,Geelong,1212m,6/11,,,,,
Mareth,09-Jun-25,Mornington,1200m,4/7,,,,,
Mareth,15-May-25,Pakenham,1200m,2/10,,,,,
Mareth,02-May-25,TRIAL Flemington,800m,6/8,,,,,
Mareth,17-Apr-25,TRIAL Picklebet Park Werribee,800m,6/8,,,,,
Mareth,09-Dec-24,TRIAL Ballarat,900m,8/9,,,,,
Azarax,25-Mar-26,Kensington,1400m,11/11,,,,,
Azarax,08-Mar-26,Canberra,1400m,3/9,,,,,
Azarax,19-Feb-26,Hawkesbury,1300m,1/10,,,,,
Azarax,27-Jan-26,TRIAL Randwick,1050m,4/9,,,,,
Azarax,15-Jan-26,TRIAL Randwick,1050m,5/6,,,,,
Azarax,04-Oct-25,Randwick,1600m,9/10,,,,,
Azarax,23-Sep-25,TRIAL Rosehill Gardens,1030m,3/9,,,,,
Azarax,05-Sep-25,Wyong,1350m,1/11,,,,,
Azarax,18-Aug-25,TRIAL Canterbury,1100m,3/4,,,,,
Azarax,24-Jul-25,Wyong,1300m,1/9,,,,,
Azarax,11-Jul-25,TRIAL Randwick,1050m,3/9,,,,,
Azarax,27-Jun-25,TRIAL Randwick,740m,3/9,,,,,
Azarax,06-Mar-25,TRIAL Rosehill Gardens,1030m,4/6,,,,,
Azarax,18-Feb-25,TRIAL Rosehill Gardens,900m,7/8,,,,,
Samarelle,27-Mar-26,TRIAL Randwick,1050m,2/7,,,,,
Samarelle,13-Mar-26,Kembla Grange,1600m,7/16,,,,,
Samarelle,25-Feb-26,Rosehill Gardens,1500m,3/7,,,,,
Samarelle,04-Feb-26,Warwick Farm,1200m,5/9,,,,,
Samarelle,27-Jan-26,TRIAL Randwick,1050m,1/10,,,,,
Samarelle,15-Jan-26,TRIAL Randwick,740m,2/7,,,,,
Samarelle,18-Oct-25,Randwick,1400m,2/11,,,,,
Samarelle,07-Oct-25,TRIAL Randwick,1050m,5/9,,,,,
Samarelle,30-Aug-25,Kembla Grange,1400m,2/7,,,,,
Samarelle,18-Aug-25,TRIAL Canterbury,1100m,3/5,,,,,
Samarelle,15-Jul-25,Newcastle,1200m,1/7,,,,,
Samarelle,23-Jun-25,TRIAL Canterbury,900m,2/6,,,,,
Samarelle,06-Jun-25,TRIAL Rosehill Gardens,900m,8/9,,,,,
Autumn King,23-Mar-26,Beaumont,1200m,1/7,,,,,
Autumn King,08-Mar-26,Muswellbrook,1000m,1/11,,,,,
Autumn King,25-Feb-26,TRIAL Scone,900m,1/7,,,,,
Autumn King,01-Oct-25,TRIAL Scone,1100m,1/6,,,,,
Autumn King,20-Sep-25,Newcastle,1250m,2/8,,,,,
Autumn King,02-Sep-25,Scone,1100m,2/10,,,,,
Autumn King,25-Aug-25,TRIAL Scone,900m,1/9,,,,,
Autumn King,13-Aug-25,TRIAL Scone,900m,1/7,,,,,
Cavallo Park,07-Mar-26,Hawkesbury,1100m,1/10,,,,,
Cavallo Park,19-Feb-26,TRIAL Randwick,740m,1/6,,,,,
Cavallo Park,22-Nov-25,Gosford,1200m,1/9,,,,,
Cavallo Park,07-Nov-25,TRIAL Randwick,740m,3/9,,,,,
Cavallo Park,10-Jul-25,Gosford,1100m,2/8,,,,,
Cavallo Park,27-Jun-25,TRIAL Randwick,1050m,4/8,,,,,
Cavallo Park,13-Jun-25,TRIAL Randwick,740m,5/9,,,,,
Cavallo Park,10-Mar-25,TRIAL Randwick,740m,6/8,,,,,
Eleven X,30-Mar-26,TRIAL Warwick Farm,1208m,2/7,,,,,
Eleven X,20-Mar-26,TRIAL Warwick Farm,789m,5/9,,,,,
Eleven X,10-Oct-25,Dundalk,1408m,5/8,,,,,
Eleven X,05-Sep-25,Down Royal,1408m,1/14,,,,,
Eleven X,21-Aug-25,Leopardstown,1408m,4/11,,,,,
Siragusa,27-Mar-26,Muswellbrook,1280m,1/12,,,,,
Siragusa,11-Mar-26,TRIAL Scone,1000m,4/6,,,,,
Siragusa,22-Jan-26,Tamworth,1200m,1/8,,,,,
Siragusa,08-Jan-26,TRIAL Tamworth,950m,2/5,,,,,
Siragusa,23-Dec-25,TRIAL Wyong,845m,3/6,,,,,
Siragusa,09-May-25,TRIAL Rosehill Gardens,900m,5/9,,,,,
Geegees Big Bird,12-Apr-26,Hobart,1400m,5/9,,,,,
Geegees Big Bird,20-Mar-26,Launceston,1200m,7/8,,,,,
Geegees Big Bird,10-Mar-26,TRIAL Longford,800m,3/5,,,,,
Geegees Big Bird,20-Jul-25,Hobart,2100m,2/10,,,,,
Geegees Big Bird,06-Jul-25,Hobart,1600m,9/14,,,,,
Geegees Big Bird,08-Jun-25,Hobart,1600m,6/11,,,,,
Geegees Big Bird,25-May-25,Hobart,1600m,4/12,,,,,
Geegees Big Bird,11-May-25,Hobart,1400m,5/14,,,,,
Geegees Big Bird,14-Mar-25,Launceston,1420m,3/9,,,,,
Geegees Big Bird,26-Feb-25,Launceston,1400m,5/13,,,,,
Geegees Big Bird,11-Feb-25,TRIAL Longford,1400m,2/5,,,,,
Geegees Big Bird,19-Jan-25,Hobart,1200m,7/10,,,,,
Geegees Big Bird,08-Jan-25,Devonport Synthetic,1009m,6/9,,,,,
Geegees Big Bird,20-Nov-24,Launceston,1420m,10/10,,,,,
Geegees Big Bird,15-Oct-24,TRIAL Longford,800m,6/6,,,,,
Geegees Big Bird,26-Jan-24,Launceston,1400m,10/11,,,,,
Geegees Big Bird,12-Jan-24,Launceston,1600m,8/14,,,,,
Geegees Big Bird,29-Dec-23,Hobart,1400m,11/14,,,,,
Geegees Big Bird,29-Nov-23,Launceston,1400m,5/11,,,,,
Geegees Big Bird,17-Nov-23,Launceston,1200m,8/13,,,,,
Geegees Big Bird,27-Oct-23,Launceston,1200m,5/10,,,,,
Geegees Big Bird,17-Oct-23,TRIAL Longford,800m,6/6,,,,,
Geegees Big Bird,16-Jul-23,Devonport Synthetic,1009m,8/12,,,,,
Geegees Big Bird,02-Jul-23,Devonport Synthetic,1150m,7/11,,,,,
Geegees Big Bird,29-May-23,TRIAL Hobart,1400m,3/3,,,,,
Geegees Big Bird,16-May-23,TRIAL Hobart,800m,5/6,,,,,
Geegees Big Bird,09-Nov-22,Launceston,1600m,11/11,,,,,
Geegees Big Bird,26-Oct-22,Launceston,1220m,8/9,,,,,
Geegees Big Bird,12-Oct-22,Launceston,1100m,6/9,,,,,
Geegees Big Bird,04-Oct-22,TRIAL Longford,700m,4/5,,,,,
Geegees Big Bird,24-May-22,TRIAL Hobart,800m,4/5,,,,,
Gold Tianna,12-Apr-26,Hobart,1400m,2/9,,,,,
Gold Tianna,08-Feb-26,Hobart,1600m,8/14,,,,,
Gold Tianna,18-Jan-26,Hobart,1600m,7/14,,,,,
Gold Tianna,05-Jan-26,TRIAL Hobart,1400m,2/4,,,,,
Gold Tianna,07-Jul-25,TRIAL Hobart,800m,2/3,,,,,
Gold Tianna,22-Jun-25,Hobart,1200m,7/14,,,,,
Gold Tianna,08-Jun-25,Hobart,1200m,9/12,,,,,
Gold Tianna,27-May-25,TRIAL Hobart,800m,4/6,,,,,
Gold Tianna,29-Oct-24,TRIAL Mornington,600m,6/6,,,,,
I'm A Machine,12-Apr-26,Hobart,1400m,1/9,,,,,
I'm A Machine,27-Mar-26,Launceston,1400m,4/6,,,,,
I'm A Machine,13-Mar-26,Launceston,1200m,2/6,,,,,
I'm A Machine,04-Nov-25,Hobart,1600m,3/9,,,,,
I'm A Machine,03-Oct-25,Launceston,1400m,6/8,,,,,
I'm A Machine,14-Sep-25,Devonport Synthetic,1350m,5/10,,,,,
I'm A Machine,24-Aug-25,Hobart,1200m,6/13,,,,,
I'm A Machine,29-Jul-25,TRIAL Hobart,800m,2/4,,,,,
I'm A Machine,20-Feb-25,TRIAL Longford,800m,5/5,,,,,
I'm A Machine,11-Feb-25,TRIAL Longford,800m,5/5,,,,,
Kion's Kingdom,12-Apr-26,Hobart,1400m,3/9,,,,,
Kion's Kingdom,20-Mar-26,Launceston,1400m,2/9,,,,,
Kion's Kingdom,04-Mar-26,Launceston,1220m,8/9,,,,,
Kion's Kingdom,18-Feb-26,TRIAL Longford,800m,1/4,,,,,
Kion's Kingdom,10-Feb-26,TRIAL Longford,800m,1/4,,,,,
Kion's Kingdom,28-Oct-25,TRIAL Longford,785m,3/5,,,,,
Monclere,12-Apr-26,Hobart,1400m,8/9,,,,,
Monclere,03-Apr-26,Launceston,1200m,5/9,,,,,
Monclere,13-Mar-26,Launceston,1200m,6/6,,,,,
Monclere,30-Jan-26,Launceston,1420m,3/13,,,,,
Monclere,23-Jan-26,Launceston,1400m,4/14,,,,,
Monclere,02-Jan-26,Hobart,1200m,6/11,,,,,
Monclere,28-Dec-25,Hobart,1200m,3/12,,,,,
Monclere,05-Dec-25,Hobart,1400m,3/14,,,,,
Monclere,26-Nov-25,Launceston,1400m,3/13,,,,,
Monclere,21-Nov-25,Launceston,1400m,3/11,,,,,
Monclere,08-Nov-25,Hobart,1200m,4/9,,,,,
Monclere,29-Oct-25,Launceston,1200m,5/9,,,,,
Monclere,14-Oct-25,TRIAL Longford,800m,4/5,,,,,
Monclere,31-Aug-25,Hobart,1000m,10/11,,,,,
Monclere,10-Jan-25,Launceston,1600m,7/11,,,,,
Monclere,27-Dec-24,Hobart,1400m,4/14,,,,,
Monclere,15-Dec-24,Hobart,1100m,5/10,,,,,
Monclere,24-Nov-24,Hobart,1200m,6/13,,,,,
Monclere,18-Oct-24,Launceston,1420m,6/13,,,,,
Monclere,22-Sep-24,Devonport Synthetic,1350m,8/9,,,,,
Monclere,01-Sep-24,Hobart,1100m,3/12,,,,,
Monclere,18-Aug-24,Launceston,1220m,7/14,,,,,
Monclere,30-Jul-24,TRIAL Hobart,800m,1/3,,,,,
Monclere,09-Jul-24,TRIAL Hobart,800m,1/7,,,,,
Monclere,04-Feb-24,Launceston,1200m,8/11,,,,,
Monclere,05-Jan-24,Hobart,1000m,4/4,,,,,
Monclere,18-Dec-23,TRIAL Hobart,800m,2/4,,,,,
Vostok Station,12-Apr-26,Hobart,1400m,9/9,,,,,
Vostok Station,07-Apr-26,TRIAL Hobart,1430m,4/5,,,,,
Vostok Station,17-Mar-26,TRIAL Longford,1400m,3/4,,,,,
Vostok Station,05-Jan-26,TRIAL Hobart,1400m,4/4,,,,,
Vostok Station,15-Dec-25,TRIAL Hobart,800m,6/6,,,,,
Vostok Station,11-May-25,Hobart,1600m,7/7,,,,,
Vostok Station,06-Apr-25,Hobart,2100m,6/10,,,,,
Vostok Station,23-Mar-25,Hobart,1200m,7/7,,,,,
Vostok Station,14-Mar-25,Launceston,1420m,8/9,,,,,
Vostok Station,26-Feb-25,Launceston,1400m,11/13,,,,,
Vostok Station,09-Feb-25,Hobart,1400m,6/12,,,,,
Vostok Station,26-Jan-25,Hobart,1600m,8/9,,,,,
Vostok Station,19-Jan-25,Hobart,1100m,8/8,,,,,
Vostok Station,03-Jan-25,Hobart,1100m,8/12,,,,,
Vostok Station,27-Dec-24,Hobart,1100m,11/12,,,,,
Vostok Station,16-Dec-24,TRIAL Hobart,800m,3/3,,,,,
Vostok Station,05-Dec-24,TRIAL Longford,800m,4/4,,,,,
Lucky Country,12-Apr-26,Hobart,1400m,7/9,,,,,
Lucky Country,07-Apr-26,TRIAL Hobart,800m,3/4,,,,,
Lucky Country,27-Mar-26,Launceston,1400m,6/6,,,,,
Lucky Country,13-Mar-26,Launceston,1200m,8/9,,,,,
Lucky Country,03-Mar-26,TRIAL Devonport Synthetic,800m,1/4,,,,,
Lucky Country,16-Feb-26,TRIAL Hobart,800m,4/4,,,,,
Lucky Country,29-Oct-25,Launceston,1200m,7/9,,,,,
Lucky Country,12-Oct-25,Launceston,1200m,5/11,,,,,
Lucky Country,30-Sep-25,TRIAL Longford,800m,1/5,,,,,
Lucky Country,09-Sep-25,TRIAL Devonport Synthetic,800m,2/3,,,,,
Lucky Country,09-Apr-25,TRIAL Mornington,800m,5/6,,,,,
Lucky Country,02-Apr-25,TRIAL Mornington,700m,7/7,,,,,
Arianna's Gold,12-Apr-26,Hobart,1400m,6/9,,,,,
Arianna's Gold,27-Mar-26,Launceston,1400m,2/6,,,,,
Arianna's Gold,13-Mar-26,Launceston,1200m,3/6,,,,,
Arianna's Gold,25-Feb-26,Launceston,1200m,2/12,,,,,
Arianna's Gold,12-Nov-25,Launceston,1400m,7/8,,,,,
Arianna's Gold,29-Oct-25,Launceston,1200m,2/9,,,,,
Arianna's Gold,12-Oct-25,Launceston,1200m,2/11,,,,,
Arianna's Gold,23-Sep-25,TRIAL Launceston,800m,3/6,,,,,
Arianna's Gold,18-Apr-25,Launceston,1220m,5/12,,,,,
Arianna's Gold,04-Apr-25,Launceston,1100m,3/6,,,,,
Arianna's Gold,24-Mar-25,TRIAL Hobart,800m,3/5,,,,,
