Horse,Category,Starts,1st,2nd,3rd,Win%,Place%,Odds,ROI
Bajaria,Career,6,1,2,2,17%,84%,$4,-33%
Bajaria,12 Mths,6,1,2,2,17%,84%,$4,-33%
Bajaria,Last 10,6,1,2,2,17%,84%,$4,-33%
Bajaria,Good,3,-,1,2,0%,100%,$0,-100%
Bajaria,Soft,2,1,1,-,50%,100%,$4,100%
Bajaria,Heavy,1,-,-,-,0%,0%,$0,-100%
Bajaria,Turf,6,1,2,2,17%,84%,$4,-33%
Bajaria,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Bajaria,1001 - 1300m,5,1,2,2,20%,100%,$4,-20%
Bajaria,1 - 3,2,1,1,-,50%,100%,$4,100%
Bajaria,4 - 6,2,-,1,1,0%,100%,$0,-100%
Bajaria,7 - 10,2,-,-,1,0%,50%,$0,-100%
Bajaria,$20001 - $35000,1,-,-,1,0%,100%,$0,-100%
Bajaria,$35001 - $75000,5,1,2,1,20%,80%,$4,-20%
Bajaria,55 - 56.5kg,4,1,1,1,25%,75%,$4,-
Bajaria,57 - 58.5kg,2,-,1,1,0%,100%,$0,-100%
Bajaria,6 - 7,1,-,1,-,0%,100%,$0,-100%
Bajaria,8 - 10,4,1,1,2,25%,100%,$4,-
Bajaria,13 - 15,1,-,-,-,0%,0%,$0,-100%
Bajaria,First Up,2,-,1,-,0%,50%,$0,-100%
Bajaria,Second Up,2,-,1,1,0%,100%,$0,-100%
Bajaria,Third Up,1,1,-,-,100%,100%,$4,300%
Rockette Roulette,Career,16,1,-,3,7%,25%,$9,-44%
Rockette Roulette,12 Mths,13,1,-,3,8%,31%,$9,-31%
Rockette Roulette,Last 10,10,-,-,3,0%,30%,$0,-100%
Rockette Roulette,Good,10,1,-,1,10%,20%,$9,-10%
Rockette Roulette,Soft,5,-,-,2,0%,40%,$0,-100%
Rockette Roulette,Heavy,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,Turf,16,1,-,3,7%,25%,$9,-44%
Rockette Roulette,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,1001 - 1300m,12,1,-,3,9%,34%,$9,-25%
Rockette Roulette,1301 - 1500m,3,-,-,-,0%,0%,$0,-100%
Rockette Roulette,1 - 3,4,-,-,2,0%,50%,$0,-100%
Rockette Roulette,4 - 6,3,-,-,-,0%,0%,$0,-100%
Rockette Roulette,7 - 10,7,1,-,1,15%,29%,$9,29%
Rockette Roulette,11 - 13,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,17+,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,$10001 - $20000,2,1,-,-,50%,50%,$9,350%
Rockette Roulette,$20001 - $35000,10,-,-,2,0%,20%,$0,-100%
Rockette Roulette,$35001 - $75000,4,-,-,1,0%,25%,$0,-100%
Rockette Roulette,53 - 54.5kg,3,-,-,-,0%,0%,$0,-100%
Rockette Roulette,55 - 56.5kg,5,-,-,2,0%,40%,$0,-100%
Rockette Roulette,57 - 58.5kg,8,1,-,1,13%,25%,$9,13%
Rockette Roulette,1 - 5,1,-,-,-,0%,0%,$0,-100%
Rockette Roulette,6 - 7,4,1,-,1,25%,50%,$9,125%
Rockette Roulette,8 - 10,3,-,-,2,0%,67%,$0,-100%
Rockette Roulette,11 - 12,5,-,-,-,0%,0%,$0,-100%
Rockette Roulette,13 - 15,3,-,-,-,0%,0%,$0,-100%
Rockette Roulette,First Up,2,-,-,-,0%,0%,$0,-100%
Rockette Roulette,Second Up,2,-,-,-,0%,0%,$0,-100%
Rockette Roulette,Third Up,2,1,-,-,50%,50%,$9,350%
Neziha,Career,3,1,1,-,34%,67%,$1.35,-55%
Neziha,12 Mths,3,1,1,-,34%,67%,$1.35,-55%
Neziha,Last 10,2,1,1,-,50%,100%,$1.35,-32%
Neziha,Good,1,-,1,-,0%,100%,$0,-100%
Neziha,Soft,2,1,-,-,50%,50%,$1.35,-32%
Neziha,Turf,2,1,1,-,50%,100%,$1.35,-32%
Neziha,1001 - 1300m,2,-,1,-,0%,50%,$0,-100%
Neziha,1301 - 1500m,1,1,-,-,100%,100%,$1.35,35%
Neziha,1 - 3,1,-,1,-,0%,100%,$0,-100%
Neziha,4 - 6,2,1,-,-,50%,50%,$1.35,-32%
Neziha,$20001 - $35000,1,1,-,-,100%,100%,$1.35,35%
Neziha,$35001 - $75000,2,-,1,-,0%,50%,$0,-100%
Neziha,55 - 56.5kg,2,1,-,-,50%,50%,$1.35,-32%
Neziha,57 - 58.5kg,1,-,1,-,0%,100%,$0,-100%
Neziha,6 - 7,1,-,-,-,0%,0%,$0,-100%
Neziha,11 - 12,2,1,1,-,50%,100%,$1.35,-32%
Neziha,First Up,1,-,1,-,0%,100%,$0,-100%
Neziha,Second Up,1,1,-,-,100%,100%,$1.35,35%
Humble Trader,Career,3,2,-,-,67%,67%,$4.15,177%
Humble Trader,12 Mths,3,2,-,-,67%,67%,$4.15,177%
Humble Trader,Last 10,3,2,-,-,67%,67%,$4.15,177%
Humble Trader,Good,1,-,-,-,0%,0%,$0,-100%
Humble Trader,Soft,2,2,-,-,100%,100%,$4.15,315%
Humble Trader,Turf,3,2,-,-,67%,67%,$4.15,177%
Humble Trader,1001 - 1300m,3,2,-,-,67%,67%,$4.15,177%
Humble Trader,4 - 6,2,1,-,-,50%,50%,$3.7,85%
Humble Trader,7 - 10,1,1,-,-,100%,100%,$4.6,360%
Humble Trader,$35001 - $75000,3,2,-,-,67%,67%,$4.15,177%
Humble Trader,57 - 58.5kg,1,1,-,-,100%,100%,$4.6,360%
Humble Trader,59kg+,2,1,-,-,50%,50%,$3.7,85%
Humble Trader,6 - 7,2,1,-,-,50%,50%,$3.7,85%
Humble Trader,11 - 12,1,1,-,-,100%,100%,$4.6,360%
Humble Trader,First Up,2,2,-,-,100%,100%,$4.15,315%
Humble Trader,Second Up,1,-,-,-,0%,0%,$0,-100%
Mortlake,Career,18,2,1,3,12%,34%,$5,-72%
Mortlake,12 Mths,10,1,1,2,10%,40%,$5,-50%
Mortlake,Last 10,10,1,1,2,10%,40%,$5,-50%
Mortlake,Good,10,2,-,2,20%,40%,$5,-50%
Mortlake,Soft,7,-,1,-,0%,15%,$0,-100%
Mortlake,Turf,17,2,1,2,12%,30%,$5,-71%
Mortlake,Cushion,1,-,-,1,0%,100%,$0,-100%
Mortlake,1301 - 1500m,7,1,-,-,15%,15%,$0,-100%
Mortlake,1501 - 2000m,10,-,1,3,0%,40%,$0,-100%
Mortlake,2001 - 2400m,1,1,-,-,100%,100%,$5,400%
Mortlake,1 - 3,8,1,-,3,13%,50%,$0,-100%
Mortlake,4 - 6,5,1,1,-,20%,40%,$5,-
Mortlake,7 - 10,4,-,-,-,0%,0%,$0,-100%
Mortlake,11 - 13,1,-,-,-,0%,0%,$0,-100%
Mortlake,$5001 - $10000,2,1,-,-,50%,50%,$0,-100%
Mortlake,$10001 - $20000,2,-,-,1,0%,50%,$0,-100%
Mortlake,$20001 - $35000,5,-,1,2,0%,60%,$0,-100%
Mortlake,$35001 - $75000,6,1,-,-,17%,17%,$5,-17%
Mortlake,$75001+,3,-,-,-,0%,0%,$0,-100%
Mortlake,55 - 56.5kg,1,-,-,-,0%,0%,$0,-100%
Mortlake,57 - 58.5kg,3,-,-,-,0%,0%,$0,-100%
Mortlake,59kg+,14,2,1,3,15%,43%,$5,-64%
Mortlake,6 - 7,4,1,-,1,25%,50%,$5,25%
Mortlake,8 - 10,10,1,1,2,10%,40%,$0,-100%
Mortlake,11 - 12,1,-,-,-,0%,0%,$0,-100%
Mortlake,13 - 15,3,-,-,-,0%,0%,$0,-100%
Mortlake,First Up,5,-,-,-,0%,0%,$0,-100%
Mortlake,Second Up,4,1,-,1,25%,50%,$0,-100%
Mortlake,Third Up,4,-,-,1,0%,25%,$0,-100%
Rita's Pearl,Career,11,1,3,-,10%,37%,$8.5,-23%
Rita's Pearl,12 Mths,11,1,3,-,10%,37%,$8.5,-23%
Rita's Pearl,Last 10,10,1,3,-,10%,40%,$8.5,-15%
Rita's Pearl,Good,6,1,2,-,17%,50%,$8.5,42%
Rita's Pearl,Soft,2,-,1,-,0%,50%,$0,-100%
Rita's Pearl,Heavy,2,-,-,-,0%,0%,$0,-100%
Rita's Pearl,Turf,10,1,3,-,10%,40%,$8.5,-15%
Rita's Pearl,Cushion,1,-,-,-,0%,0%,$0,-100%
Rita's Pearl,1001 - 1300m,1,-,-,-,0%,0%,$0,-100%
Rita's Pearl,1301 - 1500m,1,-,-,-,0%,0%,$0,-100%
Rita's Pearl,1501 - 2000m,3,-,-,-,0%,0%,$0,-100%
Rita's Pearl,2001 - 2400m,6,1,3,-,17%,67%,$8.5,42%
Rita's Pearl,1 - 3,5,-,2,-,0%,40%,$0,-100%
Rita's Pearl,4 - 6,4,1,1,-,25%,50%,$8.5,113%
Rita's Pearl,7 - 10,2,-,-,-,0%,0%,$0,-100%
Rita's Pearl,$20001 - $35000,3,1,-,-,34%,34%,$8.5,183%
Rita's Pearl,$35001 - $75000,8,-,3,-,0%,38%,$0,-100%
Rita's Pearl,55 - 56.5kg,6,1,-,-,17%,17%,$8.5,42%
Rita's Pearl,57 - 58.5kg,5,-,3,-,0%,60%,$0,-100%
Rita's Pearl,6 - 7,4,1,2,-,25%,75%,$8.5,113%
Rita's Pearl,8 - 10,7,-,1,-,0%,15%,$0,-100%
Rita's Pearl,First Up,2,-,-,-,0%,0%,$0,-100%
Rita's Pearl,Second Up,2,-,1,-,0%,50%,$0,-100%
Rita's Pearl,Third Up,2,-,-,-,0%,0%,$0,-100%
Pharoah Queen,Career,6,-,1,1,0%,34%,$0,-100%
Pharoah Queen,12 Mths,6,-,1,1,0%,34%,$0,-100%
Pharoah Queen,Last 10,6,-,1,1,0%,34%,$0,-100%
Pharoah Queen,Good,2,-,1,-,0%,50%,$0,-100%
Pharoah Queen,Soft,4,-,-,1,0%,25%,$0,-100%
Pharoah Queen,Turf,6,-,1,1,0%,34%,$0,-100%
Pharoah Queen,1301 - 1500m,1,-,-,-,0%,0%,$0,-100%
Pharoah Queen,1501 - 2000m,3,-,-,-,0%,0%,$0,-100%
Pharoah Queen,2001 - 2400m,2,-,1,1,0%,100%,$0,-100%
Pharoah Queen,1 - 3,1,-,-,-,0%,0%,$0,-100%
Pharoah Queen,7 - 10,5,-,1,1,0%,40%,$0,-100%
Pharoah Queen,$35001 - $75000,6,-,1,1,0%,34%,$0,-100%
Pharoah Queen,55 - 56.5kg,4,-,1,1,0%,50%,$0,-100%
Pharoah Queen,57 - 58.5kg,2,-,-,-,0%,0%,$0,-100%
Pharoah Queen,6 - 7,2,-,1,1,0%,100%,$0,-100%
Pharoah Queen,8 - 10,4,-,-,-,0%,0%,$0,-100%
Pharoah Queen,First Up,2,-,-,-,0%,0%,$0,-100%
Pharoah Queen,Second Up,2,-,-,1,0%,50%,$0,-100%
Pharoah Queen,Third Up,2,-,1,-,0%,50%,$0,-100%
Serpico,Career,12,2,-,1,17%,25%,$4.75,-21%
Serpico,12 Mths,11,2,-,1,19%,28%,$4.75,-14%
Serpico,Last 10,10,2,-,-,20%,20%,$4.75,-5%
Serpico,Good,7,1,-,1,15%,29%,$4,-43%
Serpico,Soft,3,1,-,-,34%,34%,$5.5,83%
Serpico,Heavy,2,-,-,-,0%,0%,$0,-100%
Serpico,Turf,12,2,-,1,17%,25%,$4.75,-21%
Serpico,1001 - 1300m,5,-,-,1,0%,20%,$0,-100%
Serpico,1301 - 1500m,4,1,-,-,25%,25%,$5.5,38%
Serpico,1501 - 2000m,3,1,-,-,34%,34%,$4,33%
Serpico,1 - 3,3,-,-,1,0%,34%,$0,-100%
Serpico,4 - 6,6,2,-,-,34%,34%,$4.75,58%
Serpico,7 - 10,3,-,-,-,0%,0%,$0,-100%
Serpico,$35001 - $75000,10,2,-,1,20%,30%,$4.75,-5%
Serpico,$75001+,2,-,-,-,0%,0%,$0,-100%
Serpico,55 - 56.5kg,10,1,-,1,10%,20%,$4,-60%
Serpico,57 - 58.5kg,2,1,-,-,50%,50%,$5.5,175%
Serpico,8 - 10,7,2,-,1,29%,43%,$4.75,36%
Serpico,11 - 12,5,-,-,-,0%,0%,$0,-100%
Serpico,First Up,3,1,-,-,34%,34%,$5.5,83%
Serpico,Second Up,3,-,-,1,0%,34%,$0,-100%
Serpico,Third Up,3,1,-,-,34%,34%,$4,33%
Mane Character,Career,5,1,-,-,20%,20%,$61,1120%
Mane Character,12 Mths,3,1,-,-,34%,34%,$61,1933%
Mane Character,Last 10,5,1,-,-,20%,20%,$61,1120%
Mane Character,Good,5,1,-,-,20%,20%,$61,1120%
Mane Character,Turf,5,1,-,-,20%,20%,$61,1120%
Mane Character,1001 - 1300m,5,1,-,-,20%,20%,$61,1120%
Mane Character,1 - 3,1,-,-,-,0%,0%,$0,-100%
Mane Character,4 - 6,3,-,-,-,0%,0%,$0,-100%
Mane Character,11 - 13,1,1,-,-,100%,100%,$61,6000%
Mane Character,$20001 - $35000,1,-,-,-,0%,0%,$0,-100%
Mane Character,$35001 - $75000,4,1,-,-,25%,25%,$61,1425%
Mane Character,55 - 56.5kg,5,1,-,-,20%,20%,$61,1120%
Mane Character,6 - 7,1,-,-,-,0%,0%,$0,-100%
Mane Character,8 - 10,1,-,-,-,0%,0%,$0,-100%
Mane Character,11 - 12,1,-,-,-,0%,0%,$0,-100%
Mane Character,13 - 15,2,1,-,-,50%,50%,$61,2950%
Mane Character,First Up,4,1,-,-,25%,25%,$61,1425%
Mane Character,Second Up,1,-,-,-,0%,0%,$0,-100%
Wonderful Sky,Career,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,12 Mths,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,Last 10,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,Soft,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,Turf,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,1001 - 1300m,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,1 - 3,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,$35001 - $75000,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,55 - 56.5kg,1,-,1,-,0%,100%,$0,-100%
Wonderful Sky,57 - 58.5kg,1,1,-,-,100%,100%,$3.5,250%
Wonderful Sky,11 - 12,2,1,1,-,50%,100%,$3.5,75%
Wonderful Sky,First Up,1,-,1,-,0%,100%,$0,-100%
Wonderful Sky,Second Up,1,1,-,-,100%,100%,$3.5,250%
Icelady,Career,2,-,1,-,0%,50%,$0,-100%
Icelady,12 Mths,2,-,1,-,0%,50%,$0,-100%
Icelady,Last 10,2,-,1,-,0%,50%,$0,-100%
Icelady,Soft,2,-,1,-,0%,50%,$0,-100%
Icelady,Turf,2,-,1,-,0%,50%,$0,-100%
Icelady,1001 - 1300m,2,-,1,-,0%,50%,$0,-100%
Icelady,1 - 3,1,-,1,-,0%,100%,$0,-100%
Icelady,4 - 6,1,-,-,-,0%,0%,$0,-100%
Icelady,$35001 - $75000,2,-,1,-,0%,50%,$0,-100%
Icelady,55 - 56.5kg,1,-,-,-,0%,0%,$0,-100%
Icelady,57 - 58.5kg,1,-,1,-,0%,100%,$0,-100%
Icelady,11 - 12,2,-,1,-,0%,50%,$0,-100%
Icelady,First Up,1,-,-,-,0%,0%,$0,-100%
Icelady,Second Up,1,-,1,-,0%,100%,$0,-100%
Forbidden Desire,Career,2,-,-,1,0%,50%,$0,-100%
Forbidden Desire,12 Mths,2,-,-,1,0%,50%,$0,-100%
Forbidden Desire,Last 10,2,-,-,1,0%,50%,$0,-100%
Forbidden Desire,Soft,2,-,-,1,0%,50%,$0,-100%
Forbidden Desire,Turf,2,-,-,1,0%,50%,$0,-100%
Forbidden Desire,0 - 1000m,1,-,-,-,0%,0%,$0,-100%
Forbidden Desire,1001 - 1300m,1,-,-,1,0%,100%,$0,-100%
Forbidden Desire,7 - 10,1,-,-,1,0%,100%,$0,-100%
Forbidden Desire,11 - 13,1,-,-,-,0%,0%,$0,-100%
Forbidden Desire,$35001 - $75000,1,-,-,1,0%,100%,$0,-100%
Forbidden Desire,$75001+,1,-,-,-,0%,0%,$0,-100%
Forbidden Desire,55 - 56.5kg,1,-,-,-,0%,0%,$0,-100%
Forbidden Desire,57 - 58.5kg,1,-,-,1,0%,100%,$0,-100%
Forbidden Desire,11 - 12,1,-,-,1,0%,100%,$0,-100%
Forbidden Desire,13 - 15,1,-,-,-,0%,0%,$0,-100%
Forbidden Desire,First Up,2,-,-,1,0%,50%,$0,-100%
Heat Map,Career,1,-,-,-,0%,0%,$0,-100%
Heat Map,12 Mths,1,-,-,-,0%,0%,$0,-100%
Heat Map,Last 10,1,-,-,-,0%,0%,$0,-100%
Heat Map,Soft,1,-,-,-,0%,0%,$0,-100%
Heat Map,Turf,1,-,-,-,0%,0%,$0,-100%
Heat Map,1001 - 1300m,1,-,-,-,0%,0%,$0,-100%
Heat Map,7 - 10,1,-,-,-,0%,0%,$0,-100%
Heat Map,$35001 - $75000,1,-,-,-,0%,0%,$0,-100%
Heat Map,57 - 58.5kg,1,-,-,-,0%,0%,$0,-100%
Heat Map,11 - 12,1,-,-,-,0%,0%,$0,-100%
Heat Map,First Up,1,-,-,-,0%,0%,$0,-100%
Beskar,Career,9,3,-,2,34%,56%,$29.28,876%
Beskar,12 Mths,7,2,-,1,29%,43%,$43.25,1136%
Beskar,Last 10,9,3,-,2,34%,56%,$29.28,876%
Beskar,Good,4,2,-,1,50%,75%,$3.43,71%
Beskar,Soft,3,1,-,1,34%,67%,$81,2600%
Beskar,Heavy,2,-,-,-,0%,0%,$0,-100%
Beskar,Turf,9,3,-,2,34%,56%,$29.28,876%
Beskar,1001 - 1300m,7,2,-,2,29%,58%,$41.18,1076%
Beskar,1301 - 1500m,2,1,-,-,50%,50%,$5.5,175%
Beskar,1 - 3,4,1,-,1,25%,50%,$5.5,38%
Beskar,4 - 6,1,1,-,-,100%,100%,$1.35,35%
Beskar,7 - 10,3,-,-,1,0%,34%,$0,-100%
Beskar,11 - 13,1,1,-,-,100%,100%,$81,8000%
Beskar,$35001 - $75000,1,1,-,-,100%,100%,$1.35,35%
Beskar,$75001+,7,2,-,2,29%,58%,$43.25,1136%
Beskar,55 - 56.5kg,5,1,-,2,20%,60%,$81,1520%
Beskar,57 - 58.5kg,3,1,-,-,34%,34%,$1.35,-55%
Beskar,59kg+,1,1,-,-,100%,100%,$5.5,450%
Beskar,1 - 5,1,1,-,-,100%,100%,$1.35,35%
Beskar,6 - 7,1,-,-,1,0%,100%,$0,-100%
Beskar,8 - 10,4,1,-,1,25%,50%,$5.5,38%
Beskar,13 - 15,3,1,-,-,34%,34%,$81,2600%
Beskar,First Up,4,1,-,2,25%,75%,$1.35,-66%
Beskar,Second Up,3,1,-,-,34%,34%,$81,2600%
Beskar,Third Up,2,1,-,-,50%,50%,$5.5,175%
Regal Award,Career,8,2,2,1,25%,63%,$2.85,-29%
Regal Award,12 Mths,8,2,2,1,25%,63%,$2.85,-29%
Regal Award,Last 10,8,2,2,1,25%,63%,$2.85,-29%
Regal Award,Good,6,2,2,1,34%,84%,$2.85,-5%
Regal Award,Soft,2,-,-,-,0%,0%,$0,-100%
Regal Award,Turf,8,2,2,1,25%,63%,$2.85,-29%
Regal Award,1001 - 1300m,4,1,1,-,25%,50%,$2.9,-27%
Regal Award,1301 - 1500m,2,-,-,1,0%,50%,$0,-100%
Regal Award,1501 - 2000m,2,1,1,-,50%,100%,$2.8,40%
Regal Award,1 - 3,2,-,1,-,0%,50%,$0,-100%
Regal Award,4 - 6,3,1,-,1,34%,67%,$2.8,-7%
Regal Award,7 - 10,3,1,1,-,34%,67%,$2.9,-3%
Regal Award,$35001 - $75000,2,1,1,-,50%,100%,$2.9,45%
Regal Award,$75001+,6,1,1,1,17%,50%,$2.8,-53%
Regal Award,53 - 54.5kg,2,-,-,1,0%,50%,$0,-100%
Regal Award,55 - 56.5kg,2,-,-,-,0%,0%,$0,-100%
Regal Award,57 - 58.5kg,4,2,2,-,50%,100%,$2.85,43%
Regal Award,6 - 7,2,1,-,-,50%,50%,$2.8,40%
Regal Award,8 - 10,4,-,2,1,0%,75%,$0,-100%
Regal Award,11 - 12,1,1,-,-,100%,100%,$2.9,190%
Regal Award,13 - 15,1,-,-,-,0%,0%,$0,-100%
Regal Award,First Up,3,-,1,-,0%,34%,$0,-100%
Regal Award,Second Up,2,1,-,1,50%,100%,$2.9,45%
Regal Award,Third Up,1,-,-,-,0%,0%,$0,-100%
Options,Career,7,3,-,1,43%,58%,$5.13,120%
Options,12 Mths,7,3,-,1,43%,58%,$5.13,120%
Options,Last 10,7,3,-,1,43%,58%,$5.13,120%
Options,Good,5,1,-,1,20%,40%,$6,20%
Options,Soft,1,1,-,-,100%,100%,$3.4,240%
Options,Heavy,1,1,-,-,100%,100%,$6,500%
Options,Turf,7,3,-,1,43%,58%,$5.13,120%
Options,1001 - 1300m,1,1,-,-,100%,100%,$3.4,240%
Options,1301 - 1500m,1,-,-,-,0%,0%,$0,-100%
Options,1501 - 2000m,3,2,-,1,67%,100%,$6,300%
Options,2001 - 2400m,1,-,-,-,0%,0%,$0,-100%
Options,2401m+,1,-,-,-,0%,0%,$0,-100%
Options,1 - 3,1,1,-,-,100%,100%,$3.4,240%
Options,4 - 6,2,1,-,1,50%,100%,$6,200%
Options,7 - 10,4,1,-,-,25%,25%,$6,50%
Options,$20001 - $35000,1,1,-,-,100%,100%,$6,500%
Options,$35001 - $75000,2,1,-,1,50%,100%,$3.4,70%
Options,$75001+,3,1,-,-,34%,34%,$6,100%
Options,53 - 54.5kg,1,-,-,-,0%,0%,$0,-100%
Options,55 - 56.5kg,1,-,-,1,0%,100%,$0,-100%
Options,57 - 58.5kg,5,3,-,-,60%,60%,$5.13,208%
Options,6 - 7,1,1,-,-,100%,100%,$3.4,240%
Options,8 - 10,3,1,-,-,34%,34%,$6,100%
Options,11 - 12,2,1,-,1,50%,100%,$6,200%
Options,16+,1,-,-,-,0%,0%,$0,-100%
Options,First Up,2,1,-,-,50%,50%,$3.4,70%
Options,Second Up,1,1,-,-,100%,100%,$6,500%
Options,Third Up,1,-,-,1,0%,100%,$0,-100%
Mareth,Career,9,1,3,-,12%,45%,$3.3,-63%
Mareth,12 Mths,9,1,3,-,12%,45%,$3.3,-63%
Mareth,Last 10,9,1,3,-,12%,45%,$3.3,-63%
Mareth,Good,4,-,3,-,0%,75%,$0,-100%
Mareth,Soft,4,1,-,-,25%,25%,$3.3,-17%
Mareth,Heavy,1,-,-,-,0%,0%,$0,-100%
Mareth,Turf,9,1,3,-,12%,45%,$3.3,-63%
Mareth,1001 - 1300m,8,1,2,-,13%,38%,$3.3,-59%
Mareth,1301 - 1500m,1,-,1,-,0%,100%,$0,-100%
Mareth,1 - 3,3,1,1,-,34%,67%,$3.3,10%
Mareth,4 - 6,4,-,2,-,0%,50%,$0,-100%
Mareth,7 - 10,2,-,-,-,0%,0%,$0,-100%
Mareth,$20001 - $35000,1,-,-,-,0%,0%,$0,-100%
Mareth,$35001 - $75000,3,1,1,-,34%,67%,$3.3,10%
Mareth,$75001+,5,-,2,-,0%,40%,$0,-100%
Mareth,53 - 54.5kg,5,-,2,-,0%,40%,$0,-100%
Mareth,55 - 56.5kg,1,-,-,-,0%,0%,$0,-100%
Mareth,57 - 58.5kg,1,-,1,-,0%,100%,$0,-100%
Mareth,59kg+,2,1,-,-,50%,50%,$3.3,65%
Mareth,6 - 7,3,-,1,-,0%,34%,$0,-100%
Mareth,8 - 10,4,1,2,-,25%,75%,$3.3,-17%
Mareth,11 - 12,1,-,-,-,0%,0%,$0,-100%
Mareth,13 - 15,1,-,-,-,0%,0%,$0,-100%
Mareth,First Up,2,1,1,-,50%,100%,$3.3,65%
Mareth,Second Up,2,-,1,-,0%,50%,$0,-100%
Mareth,Third Up,2,-,-,-,0%,0%,$0,-100%
Azarax,Career,7,3,-,1,43%,58%,$5.83,150%
Azarax,12 Mths,7,3,-,1,43%,58%,$5.83,150%
Azarax,Last 10,7,3,-,1,43%,58%,$5.83,150%
Azarax,Good,4,2,-,-,50%,50%,$4.75,138%
Azarax,Soft,3,1,-,1,34%,67%,$8,167%
Azarax,Turf,7,3,-,1,43%,58%,$5.83,150%
Azarax,1001 - 1300m,2,2,-,-,100%,100%,$6.75,575%
Azarax,1301 - 1500m,4,1,-,1,25%,50%,$4,-
Azarax,1501 - 2000m,1,-,-,-,0%,0%,$0,-100%
Azarax,1 - 3,1,-,-,-,0%,0%,$0,-100%
Azarax,4 - 6,3,2,-,-,67%,67%,$6.75,350%
Azarax,7 - 10,3,1,-,1,34%,67%,$4,33%
Azarax,$35001 - $75000,4,3,-,-,75%,75%,$5.83,338%
Azarax,$75001+,3,-,-,1,0%,34%,$0,-100%
Azarax,53 - 54.5kg,1,-,-,-,0%,0%,$0,-100%
Azarax,55 - 56.5kg,3,1,-,1,34%,67%,$4,33%
Azarax,57 - 58.5kg,1,1,-,-,100%,100%,$8,700%
Azarax,59kg+,2,1,-,-,50%,50%,$5.5,175%
Azarax,8 - 10,5,2,-,1,40%,60%,$6.75,170%
Azarax,11 - 12,2,1,-,-,50%,50%,$4,100%
Azarax,First Up,2,2,-,-,100%,100%,$6.75,575%
Azarax,Second Up,2,1,-,1,50%,100%,$4,100%
Azarax,Third Up,2,-,-,-,0%,0%,$0,-100%
Samarelle,Career,7,1,2,1,15%,58%,$4.4,-37%
Samarelle,12 Mths,7,1,2,1,15%,58%,$4.4,-37%
Samarelle,Last 10,7,1,2,1,15%,58%,$4.4,-37%
Samarelle,Good,3,-,1,1,0%,67%,$0,-100%
Samarelle,Soft,4,1,1,-,25%,50%,$4.4,10%
Samarelle,Turf,7,1,2,1,15%,58%,$4.4,-37%
Samarelle,1001 - 1300m,2,1,-,-,50%,50%,$4.4,120%
Samarelle,1301 - 1500m,4,-,2,1,0%,75%,$0,-100%
Samarelle,1501 - 2000m,1,-,-,-,0%,0%,$0,-100%
Samarelle,1 - 3,2,-,2,-,0%,100%,$0,-100%
Samarelle,4 - 6,2,1,-,-,50%,50%,$4.4,120%
Samarelle,7 - 10,2,-,-,1,0%,50%,$0,-100%
Samarelle,11 - 13,1,-,-,-,0%,0%,$0,-100%
Samarelle,$35001 - $75000,4,1,1,1,25%,75%,$4.4,10%
Samarelle,$75001+,3,-,1,-,0%,34%,$0,-100%
Samarelle,53 - 54.5kg,1,-,-,-,0%,0%,$0,-100%
Samarelle,55 - 56.5kg,3,1,1,-,34%,67%,$4.4,47%
Samarelle,57 - 58.5kg,2,-,1,-,0%,50%,$0,-100%
Samarelle,59kg+,1,-,-,1,0%,100%,$0,-100%
Samarelle,6 - 7,3,1,1,1,34%,100%,$4.4,47%
Samarelle,8 - 10,2,-,-,-,0%,0%,$0,-100%
Samarelle,11 - 12,1,-,1,-,0%,100%,$0,-100%
Samarelle,16+,1,-,-,-,0%,0%,$0,-100%
Samarelle,First Up,2,1,-,-,50%,50%,$4.4,120%
Samarelle,Second Up,2,-,1,1,0%,100%,$0,-100%
Samarelle,Third Up,2,-,1,-,0%,50%,$0,-100%
Autumn King,Career,5,2,2,-,40%,80%,$1.4,-44%
Autumn King,12 Mths,5,2,2,-,40%,80%,$1.4,-44%
Autumn King,Last 10,5,2,2,-,40%,80%,$1.4,-44%
Autumn King,Good,4,1,2,-,25%,75%,$1.24,-69%
Autumn King,Soft,1,1,-,-,100%,100%,$1.55,55%
Autumn King,Turf,5,2,2,-,40%,80%,$1.4,-44%
Autumn King,0 - 1000m,1,1,-,-,100%,100%,$1.24,24%
Autumn King,1001 - 1300m,3,1,2,-,34%,100%,$1.55,-48%
Autumn King,1301 - 1500m,1,-,-,-,0%,0%,$0,-100%
